Key,TEST_RULE,ACT_English,ACT_Math,ACT_Reading,ACT_Science_Reasoning,ACT_Composite,ACT_Combined English_Writing,TEST_RULE,SAT_Critical_Reading,SAT_Mathematics,SAT_Writing
318132,,,,,,,,SAT,720,600,
410887,,,,,,,,SAT,540,620,
637468,ACT,24,28,23,22,24,22,,,,
661506,,,,,,,,,,,
698992,ACT,29,24,30,24,27,29,SAT,640,570,660
214163,ACT,17,18,13,21,17,,SAT,550,550,460
227761,,,,,,,,SAT,530,680,490
230248,,,,,,,,SAT,420,520,360
243038,ACT,16,18,22,20,19,16,SAT,510,490,490
243551,,,,,,,,SAT,630,560,570
347411,ACT,22,26,26,26,25,,,,,
350499,ACT,28,31,33,33,31,,,,,
354517,ACT,30,28,32,30,29,,,,,
358133,,,,,,,,,,,
373024,ACT,23,34,33,32,31,23,SAT,620,720,570
378935,ACT,30,26,30,33,30,,,,,
396532,ACT,24,25,23,27,25,22,SAT,460,640,480
412613,,,,,,,,SAT,600,650,680
478539,ACT,15,24,19,23,20,,,,,
487179,,,,,,,,SAT,690,640,590
500929,ACT,21,29,29,25,26,,SAT,580,530,450
502815,ACT,35,33,35,33,34,,,,,
505539,ACT,24,29,31,28,28,,,,,
513615,ACT,24,26,22,22,24,,,,,
514071,ACT,35,30,35,31,33,,,,,
514081,,,,,,,,SAT,510,520,480
516582,,,,,,,,,,,
516630,,,,,,,,,,,
516646,ACT,31,27,24,26,27,,,,,
516702,ACT,31,31,33,31,30,,,,,
516758,,,,,,,,,,,
516765,ACT,35,30,32,27,31,,,,,
516861,ACT,35,26,27,30,30,,,,,
516896,ACT,36,34,33,34,34,,,,,
520017,ACT,35,29,33,32,31,,,,,
520040,,,,,,,,,,,
527164,ACT,19,18,22,21,20,20,,,,
533865,ACT,26,20,28,33,25,,SAT,540,540,590
539344,ACT,25,26,27,22,25,22,SAT,580,610,570
541641,,,,,,,,,,,
542090,,,,,,,,,,,
542117,ACT,28,33,35,35,33,,,,,
554861,,,,,,,,,,,
557287,ACT,28,26,35,30,30,,,,,
568105,,,,,,,,SAT,470,640,450
571343,ACT,34,29,29,35,32,31,SAT,690,680,660
604394,,,,,,,,,,,
666410,ACT,23,33,17,27,25,21,,,,
672210,,,,,,,,SAT,450,800,530
676850,,,,,,,,SAT,550,780,770
686658,,,,,,,,,,,
687538,ACT,14,23,17,22,19,16,SAT,480,500,420
688514,,,,,,,,SAT,410,610,430
691756,ACT,21,22,21,24,22,20,,,,
692812,,,,,,,,,,,
693201,,,,,,,,SAT,440,520,410
698820,ACT,26,25,30,24,26,,SAT,550,560,460
701300,,,,,,,,SAT,550,690,630
703316,ACT,28,25,31,26,27,24,,,,
704213,ACT,20,26,32,30,27,19,SAT,680,540,560
706183,ACT,27,29,29,29,27,24,,,,
711953,,,,,,,,SAT,630,590,550
715766,,,,,,,,SAT,520,480,510
718419,ACT,26,33,34,27,30,26,SAT,760,710,710
719637,ACT,20,21,21,25,22,21,SAT,460,480,430
721821,,,,,,,,SAT,490,800,590
723883,ACT,34,30,36,27,31,31,,,,
728060,ACT,22,29,19,22,23,22,,,,
735369,,,,,,,,SAT,690,570,480
742799,ACT,30,34,28,27,30,28,,,,
745404,ACT,20,23,23,23,22,,,,,
749707,,,,,,,,SAT,520,670,500
751063,ACT,24,25,23,24,24,,SAT,490,590,450
760036,ACT,15,28,19,24,21,16,SAT,420,610,370
764605,,,,,,,,SAT,460,310,530
767736,,,,,,,,SAT,530,770,590
768022,,,,,,,,,,,
769906,ACT,25,26,22,25,25,,,,,
770427,ACT,31,33,30,33,32,,,,,
771550,ACT,25,27,29,27,27,,,,,
772768,,,,,,,,SAT,450,580,410
773136,ACT,20,25,24,21,23,,SAT,480,540,480
773255,,,,,,,,SAT,740,620,690
773368,,,,,,,,,,,
773466,,,,,,,,SAT,530,520,430
774203,,,,,,,,,,,
774399,,,,,,,,SAT,570,520,530
774417,ACT,29,26,28,25,27,25,SAT,570,610,480
774620,,,,,,,,,,,
775426,ACT,27,26,23,22,24,25,,,,
776523,,,,,,,,SAT,590,500,670
776713,,,,,,,,SAT,480,520,390
776762,,,,,,,,SAT,550,530,550
