Key,TEST_RULE,SATR EBRW,SATR Math,SATR Total,ACT Composite,ACT English,ACT Combined English/Writing,ACT Math
318132,,,,,,,,
410887,,,,,,,,
637468,SAT2ACT,,,,24,24,22,28
661506,,,,,,,,
698992,SAT2ACT,,,,27,29,29,24
214163,SAT2ACT,,,,17,17,,18
227761,,,,,,,,
230248,,,,,,,,
243038,SAT2ACT,,,,19,16,16,18
243551,,,,,,,,
347411,SAT2ACT,650,700,1350,25,22,,26
350499,SAT2ACT,,,,31,28,,31
354517,SAT2ACT,610,640,1240,29,30,,28
358133,SAT2ACT,640,680,1310,,,,
373024,SAT2ACT,,,,31,23,23,34
378935,SAT2ACT,,,,30,30,,26
396532,SAT2ACT,,,,25,24,22,25
412613,,,,,,,,
478539,SAT2ACT,,,,20,15,,24
487179,,,,,,,,
500929,SAT2ACT,590,620,1210,26,21,,29
502815,SAT2ACT,650,720,1370,34,35,,33
505539,SAT2ACT,,,,28,24,,29
513615,SAT2ACT,610,640,1240,24,24,,26
514071,SAT2ACT,690,650,1340,33,35,,30
514081,SAT2ACT,590,610,1200,,,,
516582,SAT2ACT,650,740,1390,,,,
516630,SAT2ACT,720,700,1420,,,,
516646,SAT2ACT,660,740,1370,27,31,,27
516702,SAT2ACT,670,740,1410,30,31,,31
516758,SAT2ACT,720,770,1490,,,,
516765,SAT2ACT,760,710,1470,31,35,,30
516861,SAT2ACT,,,,30,35,,26
516896,SAT2ACT,740,760,1500,34,36,,34
520017,SAT2ACT,,,,31,35,,29
520040,SAT2ACT,590,690,1280,,,,
527164,SAT2ACT,,,,20,19,20,18
533865,SAT2ACT,620,560,1180,25,26,,20
539344,SAT2ACT,,,,25,25,22,26
541641,SAT2ACT,650,740,1390,,,,
542090,SAT2ACT,580,660,1240,,,,
542117,SAT2ACT,710,700,1410,33,28,,33
554861,,,,,,,,
557287,SAT2ACT,630,610,1240,30,28,,26
568105,,,,,,,,
571343,SAT2ACT,780,690,1470,32,34,31,29
604394,,,,,,,,
666410,SAT2ACT,,,,25,23,21,33
672210,,,,,,,,
676850,,,,,,,,
686658,SAT2ACT,710,760,1460,,,,
687538,SAT2ACT,,,,19,14,16,23
688514,,,,,,,,
691756,SAT2ACT,,,,22,21,20,22
692812,,,,,,,,
693201,,,,,,,,
698820,SAT2ACT,,,,26,26,,25
701300,,,,,,,,
703316,SAT2ACT,,,,27,28,24,25
704213,SAT2ACT,,,,27,20,19,26
706183,SAT2ACT,,,,27,27,24,29
711953,,,,,,,,
715766,,,,,,,,
718419,SAT2ACT,,,,30,26,26,33
719637,SAT2ACT,,,,22,20,21,21
721821,,,,,,,,
723883,SAT2ACT,,,,31,34,31,30
728060,SAT2ACT,,,,23,22,22,29
735369,,,,,,,,
742799,SAT2ACT,,,,30,30,28,34
745404,SAT2ACT,,,,22,20,,23
749707,,,,,,,,
751063,SAT2ACT,,,,24,24,,25
760036,SAT2ACT,,,,21,15,16,28
764605,,,,,,,,
767736,,,,,,,,
768022,,,,,,,,
769906,SAT2ACT,,,,25,25,,26
770427,SAT2ACT,750,690,1440,32,31,,33
771550,SAT2ACT,620,640,1260,27,25,,27
772768,,,,,,,,
773136,SAT2ACT,,,,23,20,,25
773255,SAT2ACT,700,580,1280,,,,
773368,,,,,,,,
773466,,,,,,,,
774203,SAT2ACT,590,620,1210,,,,
774399,,,,,,,,
774417,SAT2ACT,,,,27,29,25,26
774620,SAT2ACT,560,530,1090,,,,
775426,SAT2ACT,,,,24,27,25,26
776523,,,,,,,,
776713,,,,,,,,
776762,,,,,,,,
778282,SAT2ACT,,,,29,33,30,23
778675,,,,,,,,
779873,SAT2ACT,,,,29,25,24,28
779918,SAT2ACT,,,,31,33,29,29
779934,SAT2ACT,,,,27,25,24,28
780174,SAT2ACT,,,,23,22,22,25
781008,SAT2ACT,470,460,930,,,,
781098,SAT2ACT,690,710,1400,31,34,,29
781154,,,,,,,,
781214,SAT2ACT,570,660,1230,,,,
781595,,,,,,,,
781901,SAT2ACT,600,730,1330,,,,
782446,SAT2ACT,,,,25,25,21,27
782451,SAT2ACT,,,,28,27,26,27
783119,SAT2ACT,610,690,1300,,,,
783782,,,,,,,,
785949,SAT2ACT,,,,24,22,,33
785956,,,,,,,,
786141,SAT2ACT,,,,23,22,,26
786448,SAT2ACT,,,,30,34,33,27
789156,,,,,,,,
789305,,,,,,,,
790782,,,,,,,,
790951,SAT2ACT,,,,27,26,26,28
792981,SAT2ACT,,,,22,23,24,23
793972,,,,,,,,
795185,,,,,,,,
795314,SAT2ACT,,,,25,24,23,27
795868,,,,,,,,
796886,SAT2ACT,,,,24,22,22,28
797826,,,,,,,,
799140,,,,,,,,
799380,SAT2ACT,,,,23,21,21,25
800607,,,,,,,,
801363,SAT2ACT,,,,22,20,19,24
801607,,,,,,,,
802433,,,,,,,,
803209,SAT2ACT,,,,28,21,22,29
803475,SAT2ACT,,,,26,26,25,25
803536,SAT2ACT,,,,28,27,24,32
803744,SAT2ACT,,,,28,26,22,34
803989,SAT2ACT,,,,28,26,25,30
804264,,,,,,,,
805005,,,,,,,,
805851,SAT2ACT,,,,25,24,22,26
807616,SAT2ACT,,,,28,23,23,35
819396,SAT2ACT,,,,28,26,23,35
819439,,,,,,,,
822914,,,,,,,,
823328,,,,,,,,
824205,,,,,,,,
825585,SAT2ACT,,,,30,31,30,31
832670,,,,,,,,
837475,,,,,,,,
841282,,,,,,,,
842304,SAT2ACT,,,,20,16,16,29
842817,,,,,,,,
850323,,,,,,,,
853259,SAT2ACT,,,,29,34,29,26
853909,,,,,,,,
854613,SAT2ACT,600,540,1140,,,,
856053,SAT2ACT,720,620,1340,29,30,,27
856271,SAT2ACT,720,740,1450,30,29,,29
856311,SAT2ACT,610,750,1340,26,21,,32
856405,,,,,,,,
856483,SAT2ACT,620,770,1360,,,,
857926,SAT2ACT,570,650,1220,,,,
857971,SAT2ACT,520,600,1120,23,16,,26
858058,SAT2ACT,610,630,1230,23,23,,23
858093,SAT2ACT,570,550,1120,24,20,,27
858624,SAT2ACT,670,740,1350,,,,
858646,SAT2ACT,590,610,1200,24,24,,26
858681,SAT2ACT,590,660,1230,27,24,,29
858706,SAT2ACT,630,700,1330,28,27,,27
858805,SAT2ACT,570,660,1230,,,,
858899,SAT2ACT,670,660,1330,23,27,,26
858916,SAT2ACT,730,800,1530,35,34,,36
858943,SAT2ACT,670,760,1410,29,27,,27
858970,SAT2ACT,710,770,1430,33,31,,34
858978,SAT2ACT,620,650,1270,,,,
858996,SAT2ACT,,,,26,26,,26
859292,SAT2ACT,550,600,1150,,,,
859870,SAT2ACT,660,660,1320,27,27,,28
860412,SAT2ACT,580,590,1160,22,22,,23
860593,SAT2ACT,,,,24,24,,25
860748,SAT2ACT,570,530,1100,23,23,,23
860757,SAT2ACT,660,540,1190,,,,
861388,SAT2ACT,540,610,1150,,,,
861414,SAT2ACT,,,,27,29,27,26
862107,SAT2ACT,,,,22,23,,20
862301,SAT2ACT,,,,21,18,,23
862333,,,,,,,,
862398,SAT2ACT,650,640,1270,,,,
862637,SAT2ACT,,,,32,35,,34
862710,SAT2ACT,520,550,1070,,,,
862835,SAT2ACT,,,,28,28,26,28
862865,SAT2ACT,,,,24,22,21,24
862906,,,,,,,,
863000,SAT2ACT,700,670,1370,,,,
863024,SAT2ACT,740,670,1410,,,,
863582,SAT2ACT,580,580,1140,,,,
863790,SAT2ACT,,,,27,25,22,26
865224,SAT2ACT,,,,24,26,25,26
865239,,,,,,,,
865928,SAT2ACT,,,,19,16,,17
865992,,,,,,,,
866019,SAT2ACT,660,630,1290,,,,
866574,SAT2ACT,610,690,1270,26,26,,27
866576,SAT2ACT,670,760,1430,31,31,,29
866581,SAT2ACT,620,680,1300,31,28,,31
866583,SAT2ACT,,,,34,35,,34
866612,SAT2ACT,,,,26,22,20,29
866629,SAT2ACT,,,,28,26,25,28
866654,,,,,,,,
866675,SAT2ACT,,,,26,28,26,26
866682,SAT2ACT,,,,23,23,21,21
866847,SAT2ACT,620,570,1190,27,32,,24
867005,SAT2ACT,,,,26,24,,27
867216,SAT2ACT,690,660,1350,,,,
