Key,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,PRIMARY_PROGRAM_IND,CAMPUS,CAMPUS_DESC,COLLEGE,COLLEGE_DESC,MAJOR,MAJOR_DESC,STUDENT_CLASSIFICATION_BOAP,STUDENT_CLASS_BOAP_DESC,STUDENT_STATUS,ENROLLED_IND,REGISTERED_IND
318132,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,CGTC,Computer Graphics Tech,07,Senior 90 - 104 hours,AS,Y,N
318132,202010,Fall 2019,N,PWL,West Lafayette,E,First Year Engineering,ENFY,First Year Engineering,07,Senior 90 - 104 hours,AS,Y,N
318132,202010,Fall 2019,N,PWL,West Lafayette,EC,School of Elec & Computer Engr,ECEB,Electrical Engineering,07,Senior 90 - 104 hours,AS,Y,N
318132,202010,Fall 2019,N,PWL,West Lafayette,ME,School of Mechanical Engr,MECH,Mechanical Engineering,07,Senior 90 - 104 hours,AS,Y,N
318132,202010,Fall 2019,N,PWL,West Lafayette,PI,Polytechnic Institute,CGTC,Computer Graphics Tech,07,Senior 90 - 104 hours,AS,Y,N
410887,202020,Spring 2020,Y,PWL,West Lafayette,HH,College of Health & Human Sci,RADH,Radiological Health Sciences,08,Senior 105+ hours,AS,Y,Y
637468,202020,Spring 2020,Y,PWL,West Lafayette,LA,College of Liberal Arts,LAUD,General Undecided,07,Senior 90 - 104 hours,AS,Y,Y
661506,202110,Fall 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,CM,Construction Management,05,Junior: 60 - 74 hours,AS,Y,Y
698992,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,WEPD,Web Programming & Design,08,Senior 105+ hours,AS,Y,Y
214163,202110,Fall 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,AENT,Aeronautic Engr Technology,08,Senior 105+ hours,AS,Y,Y
227761,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,AVFT,Prof Flight Technology,08,Senior 105+ hours,AS,Y,Y
230248,202010,Fall 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,KINE,Kinesiology,08,Senior 105+ hours,AS,Y,Y
243038,202010,Fall 2019,Y,PWL,West Lafayette,A,College of Agriculture,ASCI,Animal Sciences,07,Senior 90 - 104 hours,AS,Y,Y
243551,202110,Fall 2020,Y,PWL,West Lafayette,LA,College of Liberal Arts,LAUD,General Undecided,08,Senior 105+ hours,AS,Y,Y
347411,202020,Spring 2020,Y,PWL,West Lafayette,E,First Year Engineering,ENFY,First Year Engineering,03,Sophomore: 30 - 44 hours,AS,Y,Y
350499,202110,Fall 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,AENT,Aeronautic Engr Technology,02,Freshman: 15 - 29 hours,AS,Y,Y
350499,202110,Fall 2020,N,PWL,West Lafayette,LA,College of Liberal Arts,CSTN,Cornerstone,02,Freshman: 15 - 29 hours,AS,Y,Y
354517,202020,Spring 2020,Y,PWL,West Lafayette,E,First Year Engineering,ENFY,First Year Engineering,02,Freshman: 15 - 29 hours,AS,Y,Y
358133,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,METC,Mechanical Engr Technology,02,Freshman: 15 - 29 hours,AS,Y,Y
373024,202010,Fall 2019,Y,PWL,West Lafayette,S,College of Science,CHMA,Chemistry (ACS),08,Senior 105+ hours,AS,Y,Y
378935,202020,Spring 2020,Y,PWL,West Lafayette,HH,College of Health & Human Sci,HSPP,Health Science PreProfessional,08,Senior 105+ hours,AS,Y,Y
378935,202020,Spring 2020,N,PWL,West Lafayette,HH,College of Health & Human Sci,PSYS,Psychological Sciences,08,Senior 105+ hours,AS,Y,Y
396532,202010,Fall 2019,Y,PWL,West Lafayette,GR,Graduate School,AGRY,Agronomy,GR,Graduate,AS,Y,Y
412613,201920,Spring 2019,Y,PWL,West Lafayette,ND,Temporary,TCPB,Temporary Post-Bacc,08,Senior 105+ hours,AS,Y,Y
478539,202010,Fall 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,KINE,Kinesiology,05,Junior: 60 - 74 hours,AS,Y,Y
487179,202110,Fall 2020,Y,PWL,West Lafayette,US,Exploratory Studies,UNEX,Explorers,03,Sophomore: 30 - 44 hours,AS,Y,Y
500929,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,MHET,Mechatronics Engr Tech,05,Junior: 60 - 74 hours,AS,Y,Y
502815,201920,Spring 2019,Y,PWL,West Lafayette,PC,College of Pharmacy,PHAR,Pharmaceutical Sciences,05,Junior: 60 - 74 hours,AS,Y,Y
505539,202020,Spring 2020,Y,PWL,West Lafayette,US,Exploratory Studies,UNEX,Explorers,02,Freshman: 15 - 29 hours,AS,Y,Y
513615,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,METC,Mechanical Engr Technology,02,Freshman: 15 - 29 hours,AS,Y,Y
514071,202020,Spring 2020,Y,PWL,West Lafayette,A,College of Agriculture,FDSC,Food Science,04,Sophomore: 45 - 59 hours,AS,Y,Y
514081,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,CM,Construction Management,04,Sophomore: 45 - 59 hours,AS,Y,Y
516582,202110,Fall 2020,Y,PWL,West Lafayette,M,School of Management,IMFE,IM/Financial Engineering,08,Senior 105+ hours,AS,Y,Y
516630,202020,Spring 2020,Y,PWL,West Lafayette,E,First Year Engineering,ENFY,First Year Engineering,03,Sophomore: 30 - 44 hours,AS,Y,Y
516646,202020,Spring 2020,Y,PWL,West Lafayette,E,First Year Engineering,ENFY,First Year Engineering,04,Sophomore: 45 - 59 hours,AS,Y,Y
516702,201920,Spring 2019,Y,PWL,West Lafayette,E,First Year Engineering,ENFY,First Year Engineering,03,Sophomore: 30 - 44 hours,AS,Y,Y
516758,202010,Fall 2019,Y,PWL,West Lafayette,US,Exploratory Studies,UNEX,Explorers,03,Sophomore: 30 - 44 hours,AS,Y,Y
516765,202110,Fall 2020,Y,PWL,West Lafayette,S,College of Science,BIOL,Biology,06,Junior: 75 - 89 hours,AS,Y,Y
516861,202110,Fall 2020,Y,PWL,West Lafayette,S,College of Science,BIOL,Biology,06,Junior: 75 - 89 hours,AS,Y,Y
516896,201920,Spring 2019,Y,PWL,West Lafayette,E,First Year Engineering,ENFY,First Year Engineering,03,Sophomore: 30 - 44 hours,AS,Y,Y
520017,202020,Spring 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,AVFT,Prof Flight Technology,05,Junior: 60 - 74 hours,AS,Y,Y
