Key,CONFIDENTIALITY_IND,GENDER,GENDER_DESC,REPORTING_ETHNICITY_CODE,REPORTING_ETHNICITY,UNDERREPRESENTED_MINORITY_IND,ADMISSIONS_ATTRIBUTE,ADMISSIONS_ATTRIBUTE_DESC,RESIDENCY,RESIDENCY_DESC,ADDRESS_RULE,COUNTY,COUNTY_DESC,STATE_PROVINCE,STATE_PROVINCE_DESC,NATION,NATION_DESC
318132,,M,Male,A,American Indian or Alaska Native,Y,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
410887,,M,Male,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
637468,N,M,Male,X,2 or more races,Y,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
661506,N,M,Male,Y,Hispanic/Latino,Y,A1GS,1st Generation Student,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,US,United States
698992,,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
214163,,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
227761,,M,Male,I,International,N,A1GS,1st Generation Student,F,Foreign,PERMADDR,18157,Tippecanoe,IN,Indiana,,
230248,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
243038,,F,Female,B,White,N,,,R,Resident,PERMADDR,18011,Boone,IN,Indiana,,
243551,,F,Female,B,White,N,,,R,Resident,PERMADDR,18107,Montgomery,IN,Indiana,,
347411,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,US,United States
350499,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,41067,Washington,OR,Oregon,,
354517,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18181,White,IN,Indiana,,
358133,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,18131,Pulaski,IN,Indiana,,
373024,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
378935,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
396532,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18179,Wells,IN,Indiana,,
412613,N,F,Female,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
478539,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
487179,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18141,St Joseph,IN,Indiana,,
500929,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
502815,N,M,Male,B,White,N,,,R,Resident,PERMADDR,,,IN,Indiana,US,United States
505539,N,M,Male,D,Asian,N,,,N,Non-Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
513615,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
514071,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
514081,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
516582,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18067,Howard,IN,Indiana,,
516630,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,37179,Union,NC,North Carolina,,
516646,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
516702,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
516758,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,21067,Fayette,KY,Kentucky,,
516765,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
516861,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18011,Boone,IN,Indiana,,
516896,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
520017,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
520040,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
527164,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18011,Boone,IN,Indiana,,
533865,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18011,Boone,IN,Indiana,,
539344,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18141,St Joseph,IN,Indiana,,
541641,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18003,Allen,IN,Indiana,,
542090,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
542117,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,51153,Prince William,VA,Virginia,,
554861,N,M,Male,I,International,N,A1GS,1st Generation Student,F,Foreign,PERMADDR,,,,,CN,China
557287,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18079,Jennings,IN,Indiana,,
568105,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
571343,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
604394,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
666410,N,M,Male,I,International,N,A1GS,1st Generation Student,F,Foreign,PERMADDR,,,,,CN,China
672210,N,F,Female,I,International,N,,,F,Foreign,PERMADDR,,,,,CN,China
676850,N,M,Male,I,International,N,A1GS,1st Generation Student,F,Foreign,PERMADDR,,,,,KR,Republic of Korea
686658,N,M,Male,B,White,N,,,R,Resident,PERMADDR,,,IN,Indiana,,
687538,N,F,Female,Y,Hispanic/Latino,Y,A1GS,1st Generation Student,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
688514,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
691756,N,F,Female,X,2 or more races,Y,,,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
692812,N,M,Male,Z,Unknown,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
693201,N,M,Male,C,Black or African American,Y,,,R,Resident,PERMADDR,18003,Allen,IN,Indiana,,
698820,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18127,Porter,IN,Indiana,,
701300,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18039,Elkhart,IN,Indiana,,
703316,N,M,Male,B,White,N,A1GS,1st Generation Student,N,Non-Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
704213,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
706183,N,M,Male,D,Asian,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
711953,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
715766,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
718419,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
719637,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
721821,N,M,Male,I,International,N,A1GS,1st Generation Student,F,Foreign,PERMADDR,,,,,KR,Republic of Korea
723883,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18127,Porter,IN,Indiana,,
728060,N,M,Male,I,International,N,,,F,Foreign,PERMADDR,,,,,CN,China
735369,N,M,Male,C,Black or African American,Y,,,N,Non-Resident,PERMADDR,48113,Dallas,TX,Texas,,
742799,N,M,Male,D,Asian,N,A1GS,1st Generation Student,N,Non-Resident,PERMADDR,06059,Orange,CA,California,,
745404,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,19113,Linn,IA,Iowa,,
749707,N,M,Male,D,Asian,N,A1GS,1st Generation Student,N,Non-Resident,PERMADDR,,,,,KR,Republic of Korea
751063,N,M,Male,B,White,N,,,R,Resident,PERMADDR,,,IN,Indiana,US,United States
760036,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
764605,N,M,Male,D,Asian,N,,,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
767736,N,M,Male,I,International,N,A1GS,1st Generation Student,F,Foreign,PERMADDR,,,,,KR,Republic of Korea
768022,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
769906,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18127,Porter,IN,Indiana,,
770427,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18003,Allen,IN,Indiana,,
771550,N,F,Female,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18003,Allen,IN,Indiana,,
772768,N,F,Female,Y,Hispanic/Latino,Y,A1GS,1st Generation Student,R,Resident,PERMADDR,18039,Elkhart,IN,Indiana,,
773136,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18127,Porter,IN,Indiana,,
773255,N,F,Female,D,Asian,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
773368,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18003,Allen,IN,Indiana,,
773466,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18091,La Porte,IN,Indiana,,
774203,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18179,Wells,IN,Indiana,,
774399,N,M,Male,B,White,N,,,R,Resident,PERMADDR,,,IN,Indiana,,
774417,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18085,Kosciusko,IN,Indiana,,
774620,N,M,Male,C,Black or African American,Y,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
775426,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
776523,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18003,Allen,IN,Indiana,,
776713,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18049,Fulton,IN,Indiana,,
776762,N,F,Female,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18091,La Porte,IN,Indiana,,
778282,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18017,Cass,IN,Indiana,,
778675,N,F,Female,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18117,Orange,IN,Indiana,,
779873,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,42029,Chester,PA,Pennsylvania,,
779918,N,M,Male,X,2 or more races,N,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
779934,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18081,Johnson,IN,Indiana,,
780174,N,F,Female,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18075,Jay,IN,Indiana,,
781008,N,F,Female,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18073,Jasper,IN,Indiana,,
781098,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
781154,N,M,Male,Y,Hispanic/Latino,Y,,,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
781214,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
781595,N,M,Male,Y,Hispanic/Latino,Y,A1GS,1st Generation Student,R,Resident,PERMADDR,18085,Kosciusko,IN,Indiana,,
781901,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18113,Noble,IN,Indiana,,
782446,N,F,Female,B,White,N,,,R,Resident,PERMADDR,12103,Pinellas,FL,Florida,,
782451,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
783119,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18085,Kosciusko,IN,Indiana,,
783782,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18003,Allen,IN,Indiana,,
785949,N,M,Male,I,International,N,A1GS,1st Generation Student,F,Foreign,PERMADDR,,,,,KR,Republic of Korea
785956,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18141,St Joseph,IN,Indiana,,
786141,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18011,Boone,IN,Indiana,,
786448,N,M,Male,B,White,N,A1GS,1st Generation Student,N,Non-Resident,PERMADDR,21111,Jefferson,KY,Kentucky,,
789156,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
789305,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18183,Whitley,IN,Indiana,,
790782,N,F,Female,Y,Hispanic/Latino,Y,A1GS,1st Generation Student,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
790951,N,F,Female,B,White,N,A1GS,1st Generation Student,N,Non-Resident,PERMADDR,17089,Kane,IL,Illinois,,
792981,N,F,Female,C,Black or African American,Y,,,R,Resident,PERMADDR,18141,St Joseph,IN,Indiana,,
793972,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18039,Elkhart,IN,Indiana,,
795185,N,M,Male,D,Asian,N,,,N,Non-Resident,PERMADDR,51059,Fairfax,VA,Virginia,,
795314,N,M,Male,B,White,N,,,R,Resident,,,,,,,
795868,N,F,Female,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
796886,N,M,Male,D,Asian,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18179,Wells,IN,Indiana,,
797826,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,09001,Fairfield,CT,Connecticut,,
799140,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
799380,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18141,St Joseph,IN,Indiana,,
