Key,INSTITUTION_TYPE_DESC,INSTITUTION,INSTITUTION_DESC,MathGPA,MathYrTaken,PhysicsGPA,PhysicsYrTaken,CoreGPA,SCHOOL_GPA,SECONDARY_SCHOOL_GRAD_DATE
000288,High School,051058,Ribet Academy,3.5,6,3.5,1,3,2.48,6/1/17
000347,High School,230347,International Academy,1.67,4,2.5,2,2.39,,4/1/17
000347,High School,694217,Yew Chung Intl Sch Of Shanghai,,,,,,,
000347,High School,694242,Shanghai High School Intl Div,,,,,,,
003296,High School,UNKHSC,Unknown High School,4,4,3.86,3.5,3.91,,6/1/17
003482,High School,151113,Wayne High School,4,4,,,3.99,3.98,6/1/19
003855,High School,152893,Southern Wells High School,3.54,5,,,3.78,3.83,6/1/18
004156,High School,152510,Pike High School,,,,,,3.01,6/1/17
004333,High School,050893,Canyon Crest Academy,2.67,6,,,3.19,3.77,6/1/17
004408,High School,232382,Bishop Foley Catholic High,3.95,4,,,3.9,4.00,5/1/17
004558,High School,480500,Issaquah High School,3.12,5,3,1,3.6,3.71,6/1/17
004703,High School,697011,Indian High School,,,,,,,
004703,High School,UNKHSC,Unknown High School,2.94,4,3.1,2,3.22,,4/1/17
004907,High School,053466,Monta Vista High School,3.14,5,,,3.46,3.55,6/1/17
004946,High School,152475,Muncie Central High School,3,5,,,3.2,3.31,6/1/17
004966,High School,UNKHSC,Unknown High School,4,4,4,3,4,,4/1/16
005272,High School,151915,Harrison High School,,,,,,3.26,8/1/15
005272,High School,161065,Dallas Center-Grimes Hs,,,,,,,
005272,High School,161220,Urbandale High School,,,,,,,6/1/15
005282,High School,120040,Iolani School,3.08,4,3,1,2.62,2.92,6/1/17
005386,High School,854266,Colegio Inter Montessori,2.11,4.5,2.47,1.5,2.25,,10/1/16
005464,High School,694356,Guangzhou Foreign Language Sch,,,,,,,7/1/17
005464,High School,UNKHSC,Unknown High School,3.33,4,3.5,2,3.41,,
005504,High School,153265,Saint Joseph High School,3.27,5,,,3.4,3.81,5/1/17
005515,High School,694466,Guangzhou Xiangjiang Sec Schl,3,4,3,2,3.25,,6/1/17
005515,High School,UNKHSC,Unknown High School,3.75,4,3.5,2,3.81,,
005688,High School,UNKHSC,Unknown High School,4,4,3.5,2,3.9,,6/1/17
005722,High School,UNKHSC,Unknown High School,3.33,4,,2,3.62,,5/1/17
005766,High School,472306,Salem High School,2.67,6,,1,3.2,3.59,6/1/17
005889,High School,470139,Stone Bridge High School,2.67,5,,1,2.84,3.37,6/1/17
