Key,ACADEMIC_PERIOD,CAMPUS,COURSE_IDENTIFICATION,COURSE_SECTION_NUMBER,COURSE_REFERENCE_NUMBER,COURSE_TITLE_SHORT,CREDITS_EARNED,CREDITS_FOR_GPA,FINAL_GRADE,REPEAT_COURSE_IND,REGISTRATION_STATUS,REGISTRATION_STATUS_DESC,GRADABLE_IND,Most_Recent_Prior_Term,Most_Recent_Prior_Term_GPA
318132,202010,PWL,PHYS17200,002,13391,Modern Mechanics,4,0,P,,DD,Drop/Delete,Y,201910,3.05540541
410887,202020,PWL,PHYS17200,014,25601,Modern Mechanics,4,4,C-,,RW,**Web Registered**,Y,202010,2.92571429
637468,202020,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,B-,,RW,**Web Registered**,Y,202010,2.37931035
661506,202110,PWL,PHYS22000,062,25722,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,4
698992,202010,PWL,PHYS22000,050,10333,Gen Physics,4,4,A,,RW,**Web Registered**,Y,201930,3.04381443
214163,202110,PWL,PHYS22000,003,27017,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,2.90289855
227761,201920,PWL,PHYS22000,001,25707,Gen Physics,4,4,B-,,RW,**Web Registered**,Y,201910,2.96666667
230248,202010,PWL,PHYS22000,050,10333,Gen Physics,0,4,F,,RW,**Web Registered**,Y,201930,2.72391304
243038,202010,PWL,PHYS22000,002,27016,Gen Physics,4,4,C-,,RW,**Web Registered**,Y,201930,2.44482759
243551,202110,PWL,PHYS17200,100,26931,Modern Mechanics,0,0,,,RE,**Registered**,Y,202020,3.21232877
347411,202020,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,202010,3.1
350499,202110,PWL,PHYS22000,050,10333,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.21052632
354517,202020,PWL,PHYS17200,013,13590,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,202010,3.43333333
358133,201920,PWL,PHYS17200,002,15038,Modern Mechanics,4,4,C+,,RW,**Web Registered**,Y,201910,3.28
373024,202010,PWL,PHYS17200,001,20928,Modern Mechanics,4,4,A,,RW,**Web Registered**,Y,201530,3.18111888
378935,202020,PWL,PHYS22000,001,25707,Gen Physics,4,4,A-,,RW,**Web Registered**,Y,202010,3.16060606
396532,202010,PWL,PHYS22000,002,27016,Gen Physics,0,0,P,E,RW,**Web Registered**,Y,201930,3.53125
396532,202010,PWL,PHYS22000,002,27016,Gen Physics,0,0,P,E,RW,**Web Registered**,Y,201930,3.59206349
412613,201920,PWL,PHYS22000,002,25708,Gen Physics,4,4,A,,RW,**Web Registered**,Y,201910,3.47972973
478539,202010,PWL,PHYS22000,003,27017,Gen Physics,4,4,B-,,RW,**Web Registered**,Y,201930,3.39545455
487179,202110,PWL,PHYS17200,101,37254,Modern Mechanics,0,0,,,RW,**Web Registered**,Y,202020,3.432
500929,202010,PWL,PHYS22000,050,10333,Gen Physics,4,4,D+,,RW,**Web Registered**,Y,201930,2.51016949
502815,201920,PWL,PHYS22000,002,25708,Gen Physics,4,4,B+,,RW,**Web Registered**,Y,201910,3.31276596
505539,202020,PWL,PHYS22000,003,11270,Gen Physics,4,4,B,,RW,**Web Registered**,Y,202010,2.46428571
513615,201920,PWL,PHYS22000,002,25708,Gen Physics,4,4,A-,,RW,**Web Registered**,Y,201910,2.77333333
514071,202020,PWL,PHYS22000,001,25707,Gen Physics,4,4,B+,,RE,**Registered**,Y,202010,3.95
514081,202010,PWL,PHYS22000,003,27017,Gen Physics,4,4,C-,,RW,**Web Registered**,Y,201930,2.27777778
