PUID_SIX,SATR EBRW,SATR Math,SATR Total,SAT_Critical_Reading_OLD,SAT Mathematics_OLD,ACT English,ACT Math,ACT Reading,ACT Science Reasoning,ACT Composite,ACT Combined English/Writing
004156,,,,,,,,,,,
004400,690,760,1450,,,,,,,,
004572,550,620,1140,,,,,,,,
007567,,,,,,35,27,33,24,30,
008036,600,790,1390,520,780,,,,,,
008873,,,,,,,,,,,
010339,580,700,1280,,,,,,,,
016864,620,780,1320,,,,,,,,
017073,560,670,1220,,,,,,,,
017298,,,,,,25,35,21,30,28,
021598,,,,,,22,24,19,21,20,
024622,,,,,,,,,,,
025779,,,,,,,,,,,
026910,,,,440,530,,,,,,
031699,,,,,,21,29,27,26,26,
031747,550,590,1140,,,,,,,,
032310,610,590,1200,,,,,,,,
032400,630,700,1330,,,,,,,,
032718,700,690,1390,,,29,30,29,26,29,
032936,680,630,1310,,,22,28,33,30,28,
033692,,,,,,17,25,26,22,23,
033728,560,490,1050,,,,,,,,
033907,520,520,1040,,,21,23,20,24,22,
034409,630,670,1300,,,,,,,,
035115,650,700,1350,,,,,,,,
035236,700,690,1390,,,31,31,35,31,32,
035291,680,750,1430,,,35,28,27,31,30,
035348,,,,,,35,29,35,31,31,
035542,630,680,1270,,,,,,,,
035856,660,700,1350,,,28,29,30,27,29,
035878,670,660,1330,,,,,,,,
036899,690,670,1360,,,27,30,34,35,31,
036970,660,600,1260,,,,,,,,
037456,,,,,,34,29,33,33,32,
037718,580,540,1110,,,,,,,,
039336,550,520,1070,,,,,,,,
039357,530,700,,,,,,,,,
039427,530,640,1160,,,22,25,19,27,23,
039603,710,680,1390,,,,,,,,
039696,690,690,1380,,,29,30,27,29,29,
039933,620,660,1230,,,26,24,28,24,26,
039961,530,580,1110,,,,,,,,
040042,600,570,1170,,,24,23,21,27,24,
040214,660,650,1310,,,26,26,26,21,25,
040544,560,640,1180,,,,,,,,
040583,,,,,,25,26,19,22,23,
040758,560,550,1110,,,,,,,,
040762,590,560,1150,,,,,,,,
040871,640,630,1260,,,,,,,,
041501,590,590,1170,,,,,,,,
041741,640,630,1270,,,28,29,29,28,27,
041909,570,560,1130,,,,,,,,
042135,630,570,1200,,,,,,,,
042188,610,600,1210,,,,,,,,
042426,,,,,,27,28,23,28,26,
042883,600,570,1170,,,,,,,,
042896,500,560,1060,,,15,20,20,18,18,
043276,600,670,1250,,,,,,,,
043454,610,610,1220,,,,,,,,
043547,610,560,1170,,,22,23,27,21,23,
043896,650,640,1290,,,,,,,,
044239,550,520,1070,,,20,18,20,22,20,
044297,670,530,1200,,,28,26,26,24,26,
044614,,,,,,26,28,28,30,28,
044632,610,620,1230,,,,,,,,
045759,550,630,1180,,,,,,,,
045903,560,570,1130,,,,,,,,
046240,590,640,1230,,,22,28,29,24,26,
047113,750,620,1370,,,,,,,,
047184,620,740,1360,,,25,31,31,30,29,
047377,600,580,1180,,,24,23,25,23,24,
047401,,,,,,21,20,19,18,20,
047753,550,530,1080,,,22,20,27,22,22,
047897,600,520,1120,,,,,,,,
048088,690,650,1340,,,,,,,,
048092,,,,,,31,27,26,30,28,
048717,610,500,1110,,,29,19,26,29,25,
048726,,,,,,25,27,24,27,25,
049358,600,660,1260,,,,,,,,
049964,540,670,1210,,,25,27,19,24,24,
050430,620,550,1170,,,,,,,,
050436,580,550,1120,,,24,19,29,21,23,
050540,560,540,1100,,,,,,,,
050595,,,,,,24,24,25,23,23,
050679,570,590,1160,,,22,23,22,22,22,
051564,590,600,1190,,,25,25,28,25,26,
052310,690,710,1390,,,,,,,,
052457,,,,,,26,21,24,23,23,
052964,500,590,1070,,,,,,,,
053095,570,560,1130,,,,,,,,
053098,510,540,1050,,,,,,,,
053303,670,670,1320,,,25,29,23,35,28,
053763,,,,,,30,24,22,24,24,
053773,,,,,,20,19,26,27,22,
053829,590,570,1160,,,,,,,,
054071,540,610,1150,,,,,,,,
054104,580,510,1090,,,,,,,,
054497,590,670,1260,,,,,,,,
055359,650,680,1330,,,,,,,,
055469,660,600,1250,,,,,,,,
055820,,,,,,21,21,36,24,26,
056058,660,720,1380,,,25,27,29,30,28,
056114,640,660,1280,,,,,,,,
056352,660,800,1460,,,34,31,34,30,32,
056904,,,,,,35,36,34,35,35,
057234,650,510,1100,,,,,,,,
057245,660,650,1270,,,,,,,,
057385,590,500,1090,,,,,,,,
058353,510,520,1030,,,,,,,,
058451,560,610,1170,,,,,,,,
058590,,,,,,24,23,28,23,24,
058730,540,590,1130,,,,,,,,
059361,620,650,1270,,,,,,,,
