PUID_SIX,ACADEMIC_PERIOD,TRANSFER_COURSE_INSTITUTION,TRANSFER_COURSE_INST_DESC,COURSE_IDENTIFICATION,COURSE_TITLE_SHORT,TRANSFER_COURSE_IND,CREDITS_EARNED
004156,,,,,,,
004400,,,,,,,
004572,,,,,,,
007567,,,,,,,
008036,,,,,,,
008873,,,,,,,
010339,,,,,,,
016864,,,,,,,
017073,,,,,,,
017298,,,,,,,
021598,,,,,,,
024622,,,,,,,
025779,,,,,,,
026910,,,,,,,
031699,,,,,,,
031747,,,,,,,
032310,,,,,,,
032400,,,,,,,
032718,,,,,,,
032936,,,,,,,
033692,,,,,,,
033728,,,,,,,
033907,,,,,,,
034409,,,,,,,
035115,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
035115,201930,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
035236,,,,,,,
035291,,,,,,,
035348,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
035542,,,,,,,
035856,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,0
035878,,,,,,,
036899,201910,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
036970,,,,,,,
037456,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,0
037456,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus,Y,4
037456,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus BC,Y,3
037718,,,,,,,
039336,,,,,,,
039357,,,,,,,
039427,,,,,,,
039603,,,,,,,
039696,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
039933,,,,,,,
039961,,,,,,,
040042,,,,,,,
040214,,,,,,,
040544,,,,,,,
040583,,,,,,,
040758,,,,,,,
040762,,,,,,,
040871,,,,,,,
041501,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
041741,201810,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
041909,,,,,,,
042135,,,,,,,
042188,,,,,,,
042426,,,,,,,
042883,,,,,,,
042896,,,,,,,
043276,,,,,,,
043454,,,,,,,
043547,201830,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
043896,201830,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
044239,,,,,,,
044297,,,,,,,
044614,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics C (Mechanics),Y,3
044632,,,,,,,
045759,,,,,,,
045903,201830,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
046240,,,,,,,
047113,,,,,,,
047184,,,,,,,
047377,,,,,,,
047401,,,,,,,
047753,,,,,,,
047897,,,,,,,
048088,,,,,,,
048092,,,,,,,
048717,,,,,,,
048726,,,,,,,
049358,,,,,,,
049964,201830,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
050430,,,,,,,
050436,,,,,,,
050540,,,,,,,
050595,,,,,,,
050679,,,,,,,
051564,,,,,,,
052310,,,,,,,
052457,,,,,,,
