PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Term_GPA_Term,Prior_Term_GPA_Term_Desc,Prior_Term_GPA_Term_Level,GPA
126206,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,4
584224,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.85
483519,202120,Spring 2021,PHYS17200,28590,,,Undergraduate,3.66666667
502800,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,3.9
508691,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,3.58571429
508753,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,2.84615385
516698,202210,Fall 2021,PHYS17200,26931,,,,
516701,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,3.6125
516740,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,4
519912,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,3.96470588
519990,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,3.18
519999,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,3.18571429
520000,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.72
563302,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,4
695742,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,3.425
702929,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.93571429
723850,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,3.88
753776,202120,Spring 2021,PHYS22000,25707,,,Undergraduate,3.47692308
764605,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,2
766305,202210,Fall 2021,PHYS22000,27016,,,,
780354,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.3625
803427,202210,Fall 2021,PHYS17200,26931,,,,
803475,202120,Spring 2021,PHYS22000,25708,,,Undergraduate,2.02727273
805005,202210,Fall 2021,PHYS17200,21307,202120,Spring 2021,Undergraduate,2.675
813546,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,4
823328,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.4
832215,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.8
859007,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.86
