PUID_SIX,High_School,High_School_Name,High_School_Grad_Date,High_School_Graduation_Year,High_School_GPA,SUBJECT,SUBJECT_DESC,YEARS_TAKEN,GRADE,GPA
004156,152510,Pike High School,"June 1, 2017",2017,3.01,,,,,
004400,HS0559,Chettinad Vidyashram,"April 1, 2017",2017,3.91,MATH,Academic Math TOTAL,4,A,4
004400,HS0559,Chettinad Vidyashram,"April 1, 2017",2017,3.91,PHYS,Physics,2.5,A,4
004572,151915,Harrison High School,"June 1, 2017",2017,3.02,,,,,
007567,153745,West Lafayette Jr-Sr Hs,"May 1, 2017",2017,3.8,MATH,Academic Math TOTAL,5,B+,3.39
007567,153745,West Lafayette Jr-Sr Hs,"May 1, 2017",2017,3.8,PHYS,Physics,1,A,4
008036,694536,Taipei Wego Private Senior Hs,"June 1, 2017",2017,3.52,MATH,Academic Math TOTAL,5,A-,3.9
008036,694536,Taipei Wego Private Senior Hs,"June 1, 2017",2017,3.52,PHYS,Physics,2,B+,3.5
008873,232653,L Anse Creuse High School N,"June 1, 2016",2016,2.82,,,,,
010339,053343,Saratoga High School,"June 1, 2017",2017,3.98,MATH,Academic Math TOTAL,6,B,3.12
010339,053343,Saratoga High School,"June 1, 2017",2017,3.98,PHYS,Physics,1,,
016864,682022,Busan Foreign School,"June 1, 2017",2017,,MATH,Academic Math TOTAL,4,B+,3.43
017073,694341,Hefei No 8 High School,"June 1, 2017",2017,3.8,,,,,
017298,687190,United World Colg SE Asia-East,"May 1, 2017",2017,,MATH,Academic Math TOTAL,4,B,3.17
017298,687190,United World Colg SE Asia-East,"May 1, 2017",2017,,PHYS,Physics,0.5,B,3
021598,150116,Lakewood Park Christian School,"May 1, 2017",2017,3.97,,,,,
024622,152489,Munster High School,"August 1, 2016",2016,,,,,,
025779,141016,Curie Metropolitan Hs,"May 1, 2015",2015,,,,,,
026910,100289,Coral Gables Senior Hs,"May 1, 2017",2017,3.66,MATH,Academic Math TOTAL,5,B,3
026910,100289,Coral Gables Senior Hs,"May 1, 2017",2017,3.66,PHYS,Physics,2,B,3
031699,151915,Harrison High School,"June 1, 2020",2020,3.71,MATH,Academic Math TOTAL,4,,3.75
031747,150315,Frontier Junior-Senior Hs,"May 1, 2018",2018,3.53,,,,,
032310,150245,Boone Grove High School,"May 1, 2019",2019,3.44,MATH,Academic Math TOTAL,4,,3.24
032400,150245,Boone Grove High School,"May 1, 2019",2019,3.99,MATH,Academic Math TOTAL,4,,3.96
032718,151225,Andrean High School,"May 1, 2019",2019,3.99,,,,,
032936,151585,Carroll High School,"June 1, 2019",2019,3.53,MATH,Academic Math TOTAL,4,,3.18
033692,153780,Kankakee Valley High School,"June 1, 2019",2019,3.96,MATH,Academic Math TOTAL,4,,3.16
033728,152625,North Judson San Pierre Hs,"June 1, 2019",2019,3.48,MATH,Academic Math TOTAL,4,,3.18
033907,151104,Northrop High School,"June 1, 2020",2020,3.74,MATH,Academic Math TOTAL,3,,3.48
034409,151528,Highland High School,"June 1, 2019",2019,3.59,MATH,Academic Math TOTAL,3,,3.17
035115,153112,Lake Central High School,"June 1, 2019",2019,3.95,MATH,Academic Math TOTAL,3,,4.00
035236,150770,Bellmont High School,"May 1, 2020",2020,3.76,MATH,Academic Math TOTAL,5,,3.58
035291,150770,Bellmont High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,5,,4.00
035348,153112,Lake Central High School,"June 1, 2019",2019,3.75,MATH,Academic Math TOTAL,4,,3.44
035542,152520,New Prairie High School,"May 1, 2019",2019,3.4,,,,,
035856,151104,Northrop High School,"June 1, 2019",2019,3.75,MATH,Academic Math TOTAL,4,,3.85
035878,151104,Northrop High School,"June 1, 2019",2019,3.93,MATH,Academic Math TOTAL,4,,3.96
036899,153565,Valparaiso High School,"June 1, 2019",2019,4,MATH,Academic Math TOTAL,4,,4.00
036970,150225,Bluffton High School,"May 1, 2019",2019,4,MATH,Academic Math TOTAL,2.5,,4.00
037456,153790,Wheeler High School,"June 1, 2019",2019,3.84,MATH,Academic Math TOTAL,4,,3.59
037718,150865,Portage High School,"May 1, 2019",2019,3.55,MATH,Academic Math TOTAL,3,,3.50
039336,153690,Warsaw Community High School,"June 1, 2019",2019,3.94,MATH,Academic Math TOTAL,4,,3.80
039357,151915,Harrison High School,"June 1, 2019",2019,3.17,MATH,Academic Math TOTAL,3,,2.55
