PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,PRIMARY_PROGRAM_IND,STUDENT_LEVEL,STUDENT_LEVEL_DESC,STUDENT_CLASSIFICATION_BOAP,STUDENT_CLASS_BOAP_DESC,CAMPUS,CAMPUS_DESC,COLLEGE,COLLEGE_DESC,PROGRAM,PROGRAM_DESC,DEGREE,DEGREE_DESC,MAJOR,MAJOR_DESC
004572,202210,Fall 2021,N,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CSTN,Cornerstone
004572,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVMG-BS,Aviation Management-BS,BS,Bachelor of Science,AVMG,Aviation Management
007567,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,LA,College of Liberal Arts,HISTORY-BA,History-BA,BA,Bachelor of Arts,HIST,History
008873,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,PI,Polytechnic Institute,PICGT-BS,Comp Graphics Tech-BS,BS,Bachelor of Science,WEPD,Web Programming & Design
016864,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
017073,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-UND,Undecided Liberal Arts,DS,Degree Seeking,PCOM,Pre Communication
024622,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
025779,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICGT-BS,Comp Graphics Tech-BS,BS,Bachelor of Science,WEPD,Web Programming & Design
031699,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIMET-BS,Mech Engr Tech-BS,BS,Bachelor of Science,METC,Mechanical Engr Technology
032400,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
034409,202210,Fall 2021,N,UG,Undergraduate,06,Junior: 75 - 89 hours,PUC,Northwest- Hammond,UC,University College,,,DS,Degree Seeking,RCTR,Regional Campus Transfer
034409,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
035348,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HLTH-BS,Health Sciences-BS,BS,Bachelor of Science,HSPP,Health Science PreProfessional
035542,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
035856,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HLTH-BS,Health Sciences-BS,BS,Bachelor of Science,HSPP,Health Science PreProfessional
035878,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
036899,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HLSC-BS,Health Sci-Medt and Rad-BS,BS,Bachelor of Science,MLAB,Medical Laboratory Sciences
036970,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HLTH-BS,Health Sciences-BS,BS,Bachelor of Science,HSPP,Health Science PreProfessional
039427,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
039696,202210,Fall 2021,N,UG,Undergraduate,08,Senior 105+ hours,PFW,PU Fort Wayne,ND,Temporary,,,DS,Degree Seeking,RCTR,Regional Campus Transfer
039696,202210,Fall 2021,N,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,A,College of Agriculture,DEAN-CERT,Deans Scholar Progam-Cert,CERT,Certificate,DSPG,Deans Scholar Program
039696,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
039933,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
039961,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HLTH-BS,Health Sciences-BS,BS,Bachelor of Science,HSPP,Health Science PreProfessional
040042,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
040583,202210,Fall 2021,N,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CMEH,Medical Humanities
040583,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
